name,domain,url,home_title,description,services_guess,address_guess,emails,phones,pages_crawled,total_text_chars,images_referenced,assets_downloaded,asset_size_mb,crawl_errors,crawl_seconds
Treuhand Zürich (treuhand-zuerich.com),treuhand-zuerich.com,https://www.treuhand-zuerich.com/,Treuhand Zürich – Treuhandspezialisten für Reisebüros und Reiseveranstalter,,Wir erledigen das! | Treuhandbüro ist Treuhandbüro? | Alle Mitarbeitenden sind hochqualifiziert. | Unternehmensberatung | Personaladministration | Steuerberatungen,,"amir.hanna@treuhand-zuerich.com, bujar.sadiku@treuhand-zuerich.com, connie.eindiguer@treuhand-zuerich.com, georgije.lavrnja@treuhand-zuerich.com, gian.gadient@treuhand-zuerich.com, info@treuhand-zuerich.com","+41 44 204 20 10, 044 204 20 10",13,30860,51,38,4.92,0,35.9
Treuhandbüro Balbiani,balbiani.ch,https://www.balbiani.ch/,Treuhandbüro Balbiani - seit 1960 Ihr starker Partner,"Unsere persönliche Beratung hilft Ihnen schnell Ihre Problem- und Fragestellungen zu lösen bei Ihrer Buchhaltung, den Steuern, Personaladministration und mehr.",Seit über 60 Jahren Ihr starker Partner in Steuerfragen | Checkliste Unterlagen zur Steuererklärung | Zinssätze geldwerte Leistungen | Sozialversicherungen | Treuhandbüro Balbiani | Dienstleistungen,,"jean-pierre@balbiani.ch, katia.defeo@balbiani.ch, treuhand@balbiani.ch, vanja.dancilovic@balbiani.ch",044 746 40 60,12,20313,33,17,3.01,0,16.6
Treuhandbüro Graf AG,treuhandgraf.ch,https://www.treuhandgraf.ch/,Treuhandbüro Graf AG,Das Treuhandbüro Graf ist Ihr kompetenter Treuhänder in Zürich. Wir helfen Ihnen bei allen Ihren kaufmännischen Pflichten unter die Arme.,Wir behalten den Durchblick | Ihr Anliegen | Buchhaltung | Steuerberatung | Firmengründungen | Consulting & Rechtsberatung,,"info@haugag.ch, info@treuhandgraf.ch","+41 44 260 23 00, +41 44 260 23 00",16,48095,55,45,6.03,0,50.4
Treuhandbüro Ivanova / Adea,adea-treuhand.ch,https://adea-treuhand.ch/,Treuhandbüro Ivanova – Bremgarten & Zürich - Treuhandbüro Ivanova,"Buchhaltung, Steuererklärung & Lohn für KMU und Privatpersonen in Zürich (Kreis 3) und im Freiamt. Persönlich, digital, fair.",Unsere Mission: Ihr Erfolg | FAQ – Häufige Fragen zu Treuhand im Freiamt | Kontakt – Wir freuen uns auf Ihre Anfrage | Digitale Exzellenz | Warum KMU in Zürich & im Freiamt mit uns arbeiten | 2. Digitale Treuhandprozesse,,"alexandra@adea-treuhand.ch, info@adea-treuhand.ch","+41 (0)62 535 09 99, +41 (0)78 235 68 74, +41 44 515 56 35, +41 78 256 68 74",52,341993,53,91,19.0,0,107.7
Treuhandbüro24 Zürich,treuhandbuero24.ch,https://www.treuhandbuero24.ch/,Treuhandbüro 24 - Deine Adresse für Steuerberatung & Buchhaltung!,"Bei Treuhandbüro24 findest Du günstige Dienstleistungen im Bereich Steuererklärung Ausfüllen Lassen, Steuerberatung und Buchhaltung Schweiz!","Unsere Treuhand-Dienstleistungen nach Kanton: | Hilfe bei der Steuererklärung | Steuerberatung und Steueroptimierung | Buchhaltung, Jahresabschluss & Erfolgsrechnung",Aargau,,"+41326237191, +41442152080",200,818267,1283,14,0.09,0,382.2
Treuhandfinanz / Treuhänder Zürich,treuhaender-zuerich.com,https://www.treuhaender-zuerich.com/,Treuhandbüro Schweiz | Ihr Treuhänder Zürich – Treuhandfinanz©,"Treuhandfinanz© ist Ihr erfahrenes Treuhandbüro Schweiz. Ihr kompetenter Treuhänder Zürich ... Buchhaltung, Jahresabschluss, Steuern & Löhne",Jahresabschluss für Ihre Firma | 100% anonym & diskret | 100% korrekte Abrechnungen | 100% zufriedene Unternehmen | 100% sichere Software | 100% perfekte Lohnbuchhaltung,,info@treuhandfinanz.ch,+41 (0)58 502 85 00,24,91678,218,71,9.54,0,61.6
Treuhandzentrum Zürich AG,treuhand-zentrum-zuerich.ch,https://www.treuhand-zentrum-zuerich.ch/de,Ihr Partner fÃ¼r Treuhand in ZÃ¼rich | TZZ,"Ob etablierte Unternehmen oder Startups â wir begleiten Sie mit Expertise in Treuhand, Steuern und Unternehmensberatung. PersÃ¶nlich, pragmatisch, professionell.",Ihre TreuhÃ¤nder mit dem 360Â° Grad-Ansatz | Unsere Leistungen | Philosophie | Das sagen unsere Kunden | Jessica Amstalden | Aktuelles / News,,"albana.jetishi@tz-zuerich.ch, deniz.mueller@tz-zuerich.ch, hello@blynx.ch, info@schillingag.ch, info@tz-zuerich.ch, jackie.herzog@tz-zuerich.ch, jessica.amstalden@tz-zuerich.ch, julian.fingerhut@tz-zuerich.ch, marco.loehrer@tz-zuerich.ch, nadine.toengi@tz-zuerich.ch, nicolas.schaerer@tz-zuerich.ch",+41 44 421 33 77,86,415891,836,1193,283.84,0,301.0
Turicum Treuhand AG,turicum-treuhand.ch,https://www.turicum-treuhand.ch/,ACCURATA Holding AG ¦ CH- 8050 Zürich - Home,"Die ACCURATA Holding AG ist eine schweizerische, partnerschaftlich getragene und gegenüber Dritten finanziell und organisatorisch vollständig unabhängige Gesellschaft, deren Tochtergesellschaften im Bereich der Wirtschaftsprüfung, Beratung und Treuhandwesen tätig sind. International gehört die ACCURATA-Gruppe dem TTN-Netzwerk an.",über uns | ACCURATA Holding AG | Büro | Email Addresse | Telefon + Fax | Büroadresse,,"adrian.meier@accurata.ch, adrian.meier@turicum-treuhand.ch, alfons.florian@accurata.ch, andre.loosli@turicum-treuhand.ch, beatrice.aschwanden@fmhtreuhand.ch, beatrice.aschwanden@turicum-treuhand.ch, info@accurata.ch, info@turicum-treuhand.ch, isabel.rohr@turicum-treuhand.ch, juerg.badertscher@accurata.ch, juerg.badertscher@turicum-treuhand.ch, maya.diggelmann@turicum-treuhand.ch, nadine.spohn@turicum-treuhand.ch, philip.vinzi@turicum-treuhand.ch, svenja.wenger@turicum-treuhand.ch","+41 44 487 34 10, +41 44 487 34 11, +41 44 487 34 34, +41 44 487 34 35, +41 44 487 34 66, +41 44 487 34 68, +41 56 648 20 00, +41 56 648 20 09, 044 487 34 34",15,64880,147,30,1.35,0,18.2
Urania Treuhand AG,urania-treuhand.ch,https://www.urania-treuhand.ch/,Home - Urania Treuhand AG,"Willkommen bei der Urania Treuhand AG dein Partner für Steuerberatung, Buchhaltung, Liegenschaften und Nachfolgeplanung Ob Start-up, KMU, Verein oder",Unsere Schwerpunkte | Unsere Standorte | Uzwil | Niederwil | Berneck | Zahlen sprechen lassen,,"%20info@urania-treuhand.ch, %20n.dekic@urania-treuhand.ch%20%20, c.hobi@urania-treuhand.ch, c.sutter@urania-treuhand.ch, h.alemdar@urania-treuhand.ch, info@urania-treuhand.ch, m.alemdar@urania-treuhand.ch, m.lloci@urania-treuhand.ch, m.stark@urania-treuhand.ch, r.brunner@urania-treuhand.ch, r.wieland@urania-treuhand.ch, s.büchel@urania-treuhand.ch","+41 71 744 09 71, +41 71 929 30 00, +41 71 944 22 11, 071 9293000",10,37533,30,35,13.29,0,37.1
V-Buchhaltung,v-buchhaltung.ch,https://www.v-buchhaltung.ch/,Zuverlässige Buchhaltung in Winterthur | VBuchhaltung,"VBuchhaltung bietet professionelle Buchhaltung. Ich bin erfahren, zuverlässig und auf dem neuesten Stand der aktuellen Gesetze und Vorschriften!",Ich kann Ihnen helfen mit... | Professionelle Buchhaltung für Ihr Unternehmen | Kontakt | Buchhaltung und Finanzen | Saläre und Lohnbuchhaltung | Steuerpflichten,Oberer Deutweg 16 e 8400 Winterthur,office@vbuchhaltung.ch,+41794460030,8,63832,14,5,0.28,0,10.6
Wespi & Partner AG,wespipartner.ch,https://wespipartner.ch/,"Treuhand, Steuern & Wirtschaftsprüfung | Wespi & Partner AG","Dein Sparring-Partner für unternehmerischen Erfolg in den Bereichen Treuhand, Payroll, Unternehmensberatung, Steuern und Wirtschaftsprüfung.",Dein Wegbegleiter | Unsere Dienstleistungen | Leidenschaftlich. Nachhaltig. Professionell. | Startup | Wachstum | Etabliertes Unternehmen,,"info@wespipartner.ch, jobs@wespipartner.ch",+41 43 266 36 20,34,120278,303,233,20.8,0,74.1
Würth Treuhand AG,wuerth-treuhand.ch,https://www.wuerth-treuhand.ch/,WÃ¼rth Treuhand AG - Revisions- und Steuerrechtspraxis,"TreuhandbÃ¼ro an der Norastrasse in ZÃ¼rich: Ihr spezialisierter Partner fÃ¼r Steuerberatung, Revision, Unternehmensberatung und Treuhand",revisions- und steuerrechtspraxis | mit sicherheit in treuen hÃ¤nden,Norastrasse 7 8004 Zürich,"info@wuerth-treuhand.ch, info@wuerth-treuhand.ch<span data-mono-global=",044 404 70 00,13,40647,82,9,1.25,0,27.8
ZH Treuhand,zhtreuhand.ch,https://zhtreuhand.ch/,Treuhand für KMU und Ärzte | ZH Treuhand,"Unser erfahrenes Team unterstützt Sie bei Finanzangelegenheiten wie Buchhaltung, Steueroptimierung und eingeschränkter Revision.",Treuhand für KMU | Treuhand für Arztpraxen,,"%20info@zhtreuhand.ch, info@zhtreuhand.ch","078 216 03 04, 0782160304",29,103328,112,51,5.38,0,52.7
Zurich Tax & Treuhand GmbH,zurichtaxtreuhand.ch,https://zurichtaxtreuhand.ch/,Zürich Tax&Treuhand – Ihr persönlicher Treuhänder aus der Region,"Ihre erste Anlaufstelle für Buchhaltung, Firmengründung und -Mutation, Personal-Administration und Steuererklärung – für KMU aus der Region.",Buchhaltung | Personal-Administration | Firmengründung / Firmenmutation,,"fo@zurichtaxtreuhand.ch, hello@legally-ok.com, impressum-support@support.facebook.com, info@zurichtaxtreuhand.ch, privacypolicyupdates@automattic.com, support-deutschland@google.com","+41 43 569 69 69, +41 78 306 24 46, 043 589 69 69",22,123190,43,80,3.59,0,43.2
